(2313421.4637, 5037433.7696)
(2313577.0064000003, 5037436.9308)
(2313574.0164, 5037424.740499999)
(2313112.2982, 5037438.387599999)
(2313113.8783, 5037438.297599999)
(2312714.2313, 5037442.8049)
(2312714.8613, 5037439.7348)
(2310564.715, 5036056.8311)
(2310548.7148, 5036063.621200001)
(2311214.5735, 5036069.7261)
(2311253.3843, 5036051.456)
(2312911.7654, 5036713.530300001)
(2312903.3426, 5036702.8736000005)
(2313048.6316, 5036724.522399999)
(2313036.0515, 5036707.8519)
(2311871.9911, 5035088.2204)
(2311875.4411000004, 5035100.250600001)
(2311624.1464, 5035141.8597)
(2311634.8664999995, 5035160.0802)
(2311910.6315, 5035142.2918)
(2311926.2218000004, 5035134.761700001)
(2311864.3899, 5035263.8839)
(2311856.5796999997, 5035278.824200001)
(2311121.2279000003, 5035088.5151)
(2311132.8181999996, 5035070.834799999)
(2312284.1523, 5035088.537699999)
(2312282.5483999997, 5035083.793199999)
(2312520.7626, 5035091.115)
(2312525.3726000004, 5035106.5953)
(2310519.9228999997, 5035147.7937)
(2310578.9203000003, 5035169.5529)
(2312339.8789999997, 5035148.9048999995)
(2312376.1797, 5035140.4350000005)
(2310875.6330000004, 5035271.187100001)
(2310864.8331000004, 5035222.036)
(2310636.6403, 5035274.1555)
(2310650.8706, 5035245.904999999)
(2311451.1533000004, 5035152.628799999)
(2311437.4426999995, 5035140.4998)
(2311479.5938, 5035149.4089)
(2312560.7987, 5037428.9735)
(2312526.3381000003, 5037422.1832)
(2312647.5202, 5037429.3342)
(2312663.8904, 5037431.8643)
(2310786.7538, 5034960.8401)
(2311752.8992999997, 5035047.1987)
(2311746.9555, 5035032.1011)
(2312735.0566, 5035047.5856)
(2312738.5366, 5035055.6558)
(2312089.0552000003, 5035049.391100001)
(2312089.6848, 5035117.5625)
(2312424.7811000003, 5035049.553400001)
(2312452.6716, 5035046.9636)
(2310523.0612000003, 5034905.047)
(2310526.4812000003, 5034903.367000001)
(2312116.7566, 5034905.2283)
(2312112.4433000004, 5034911.578)
(2312015.9148000004, 5034906.897600001)
(2312012.9148000004, 5034905.957599999)
(2311849.4014999997, 5034964.477700001)
(2311921.8647, 5034965.8619)
(2311938.0631999997, 5034946.187899999)
(2313069.4475, 5037444.7974)
(2313071.2575000003, 5037444.7574000005)
(2312763.0821, 5037446.825300001)
(2312777.6322999997, 5037448.965500001)
(2312753.8575999998, 5036537.226500001)
(2312830.7983999997, 5036634.579)
(2313564.2764, 5037403.390000001)
(2313565.6264000004, 5037402.949999999)
(2313384.5528999995, 5037450.7697)
(2313353.3123000003, 5037464.879799999)
(2312534.9979999997, 5037453.5339)
(2312602.7492000004, 5037466.454600001)
(2312555.6484000003, 5037457.584100001)
(2312584.119, 5037433.5638)
(2312732.4513999997, 5037465.305500001)
(2312745.8617000002, 5037467.635600001)
(2312665.6405999996, 5037411.253900001)
(2312665.4806000004, 5037411.9539)
(2312617.1297000004, 5037423.3638)
